"","Outcome","Arm","Group","Coefficient","Estimate","Std..Error","Pr...z..","EstOverSE"
"212","%CD4+ totIFNg+","A","FA - BA","FA1",-0.0281733311287551,0.334824300289155,0.932942238056983,-0.0841436272828005
"213","%CD4+ totIFNg+","A","FA - BA","FA2",-0.572990775058014,0.430890435057739,0.183589778918244,-1.32978299920079
"214","%CD4+ totIFNg+","A","FA - BA","Time56",-4.40207706810858,0.331367606146875,2.84477570952295e-40,-13.2845727417224
"215","%CD4+ totIFNg+","A","FA - BA","Time365",-1.51782403410748,0.278573608739428,5.07802734362273e-08,-5.44855645506328
"216","%CD4+ totIFNg+","A","FA - BA","GenderM",-0.0532533788246607,0.28369902749337,0.851103343103638,-0.187710826135649
"217","%CD4+ totIFNg+","A","FA - BA","FA0:Time56",0.554856526415576,0.476495761642912,0.244240813585853,1.16445217582311
"218","%CD4+ totIFNg+","A","FA - BA","FA1:Time56",0.641694303414625,0.443392010838999,0.147829938334274,1.4472392098369
"219","%CD4+ totIFNg+","A","FA - BA","FA2:Time56",1.07875994834886,0.5565995448211,0.0526078742436978,1.93812581843845
"220","%CD4+ totIFNg+","A","FA - BA","FA0:Time365",0.107463666008545,0.468070410494534,0.818411406777281,0.22958867640235
"221","%CD4+ totIFNg+","A","FA - BA","FA1:Time365",-0.191984589341648,0.43208944278691,0.656813572045693,-0.444316778728443
